Ticker,close,date,high,low,month,open,volume
ADANIPORTS,769.1,11/1/2023 5:30,790.5,767.2,2023-11,784.75,2693768
ADANIPORTS,774.3,11/2/2023 5:30,783.5,772.05,2023-11,776.9,1741799
ADANIPORTS,795.4,11/3/2023 5:30,798.8,777.3,2023-11,780,4310765
ADANIPORTS,802.5,11/6/2023 5:30,806.25,799.3,2023-11,801.5,2270316
ADANIPORTS,797.55,11/7/2023 5:30,808.4,796,2023-11,803,2394891
ADANIPORTS,818.7,11/8/2023 5:30,823.8,800.05,2023-11,802,5123208
ADANIPORTS,806.2,11/9/2023 5:30,827.7,798.1,2023-11,825,4982049
ADANIPORTS,808.6,11/10/2023 5:30,818.8,806.2,2023-11,808,3903183
ADANIPORTS,812.25,11/12/2023 5:30,816.7,811,2023-11,816.7,265239
ADANIPORTS,809.85,11/13/2023 5:30,828,807.5,2023-11,810,1050882
ADANIPORTS,810.75,11/15/2023 5:30,818,809.05,2023-11,818,1694698
ADANIPORTS,813.6,11/16/2023 5:30,818.4,808.1,2023-11,814.4,1689762
ADANIPORTS,810.05,11/17/2023 5:30,821.95,809.05,2023-11,811.7,3218979
ADANIPORTS,803.6,11/20/2023 5:30,816,801.1,2023-11,810.05,3227659
ADANIPORTS,801.35,11/21/2023 5:30,814.9,799.3,2023-11,805,3643664
ADANIPORTS,791.9,11/22/2023 5:30,804.95,788.55,2023-11,804,3212329
ADANIPORTS,793.1,11/23/2023 5:30,804.7,791.45,2023-11,795,3776615
ADANIPORTS,795.55,11/24/2023 5:30,802.95,785,2023-11,795.9,4421350
ADANIPORTS,837.7,11/28/2023 5:30,854.4,806,2023-11,806,15929818
ADANIPORTS,835.55,11/29/2023 5:30,850,833.3,2023-11,850,8057644
ADANIPORTS,825.5,11/30/2023 5:30,839,823,2023-11,839,5998210
ADANIPORTS,827.8,12/1/2023 5:30,839.2,825.5,2023-12,839.2,2932775
ADANIPORTS,878.65,12/4/2023 5:30,883.35,858.5,2023-12,865,11064795
ADANIPORTS,1013.1,12/5/2023 5:30,1024.3,880,2023-12,884,46564412
ADANIPORTS,1017.95,12/6/2023 5:30,1082.5,1008.1,2023-12,1045,41008947
ADANIPORTS,1039.65,12/7/2023 5:30,1058.75,1021.65,2023-12,1029,14840081
ADANIPORTS,1022.95,12/8/2023 5:30,1055,992.3,2023-12,1048,12202462
ADANIPORTS,1031.9,12/11/2023 5:30,1048,1015.65,2023-12,1026.8,7889666
ADANIPORTS,1041.95,12/12/2023 5:30,1048.45,1023.25,2023-12,1037.05,4902289
ADANIPORTS,1063.5,12/13/2023 5:30,1075,1028.8,2023-12,1045,8151639
ADANIPORTS,1074.7,12/14/2023 5:30,1089.9,1063,2023-12,1080,8004131
ADANIPORTS,1078.55,12/15/2023 5:30,1086.5,1067.05,2023-12,1079,11672787
ADANIPORTS,1094.3,12/18/2023 5:30,1102.4,1072.75,2023-12,1079,5448342
ADANIPORTS,1074,12/19/2023 5:30,1099,1068.6,2023-12,1095,5993252
ADANIPORTS,1012.15,12/20/2023 5:30,1083.85,1005,2023-12,1078,8467564
ADANIPORTS,1018.95,12/21/2023 5:30,1028,989.25,2023-12,996.15,5352057
ADANIPORTS,1027.5,12/22/2023 5:30,1050.95,1019,2023-12,1034,5252106
ADANIPORTS,1028.75,12/26/2023 5:30,1041,1026.1,2023-12,1034.1,2176775
ADANIPORTS,1024.4,12/27/2023 5:30,1037.05,1018,2023-12,1037,2803997
ADANIPORTS,1016.95,12/28/2023 5:30,1031.2,1014.65,2023-12,1029.55,4865603
ADANIPORTS,1024.35,12/29/2023 5:30,1034.9,1017.6,2023-12,1021.8,2429250
ADANIPORTS,1047.85,1/1/2024 5:30,1057.95,1023,2024-01,1026.55,3989711
ADANIPORTS,1078.4,1/2/2024 5:30,1082.9,1031.1,2024-01,1047.85,6344621
ADANIPORTS,1094.25,1/3/2024 5:30,1144,1062.75,2024-01,1105,33060778
ADANIPORTS,1123.2,1/4/2024 5:30,1131,1103.55,2024-01,1117,9771995
ADANIPORTS,1154.25,1/5/2024 5:30,1160,1125.4,2024-01,1129.1,10622789
ADANIPORTS,1168.85,1/8/2024 5:30,1182,1152,2024-01,1160,8760094
ADANIPORTS,1197.1,1/9/2024 5:30,1229.9,1178.5,2024-01,1182,14701104
ADANIPORTS,1214.35,1/10/2024 5:30,1220,1197,2024-01,1220,7036728
ADANIPORTS,1202.95,1/11/2024 5:30,1223.6,1200,2024-01,1221,3721202
ADANIPORTS,1207.1,1/12/2024 5:30,1218.75,1201.05,2024-01,1210.4,3912779
ADANIPORTS,1203.1,1/15/2024 5:30,1215.35,1189.1,2024-01,1214,2825654
ADANIPORTS,1193.35,1/16/2024 5:30,1212,1186.8,2024-01,1203.6,3173587
ADANIPORTS,1166.85,1/17/2024 5:30,1204.7,1159.45,2024-01,1180,5268593
ADANIPORTS,1154.05,1/18/2024 5:30,1184.3,1143.45,2024-01,1171.05,5918594
ADANIPORTS,1152.45,1/19/2024 5:30,1166.8,1150,2024-01,1162.25,2732559
ADANIPORTS,1193,1/20/2024 5:30,1198.75,1150,2024-01,1158.9,2521107
ADANIPORTS,1137.1,1/23/2024 5:30,1207.2,1130.25,2024-01,1199.15,7201014
ADANIPORTS,1120.6,1/24/2024 5:30,1146.75,1118.35,2024-01,1138,18373913
ADANIPORTS,1146.3,1/25/2024 5:30,1155.75,1111.6,2024-01,1122.15,4305042
