Ticker,close,date,high,low,month,open,volume
ONGC,186.7,11/1/2023 5:30,188.8,185.05,2023-11,186.15,9167869
ONGC,186.2,11/2/2023 5:30,187.65,185.75,2023-11,187.0,11471209
ONGC,190.0,11/3/2023 5:30,190.65,185.8,2023-11,186.65,7464912
ONGC,193.3,11/6/2023 5:30,194.2,189.55,2023-11,190.2,8962124
ONGC,193.2,11/7/2023 5:30,198.0,192.35,2023-11,193.4,13921916
ONGC,195.35,11/8/2023 5:30,196.55,192.3,2023-11,193.7,10186886
ONGC,192.7,11/9/2023 5:30,196.7,192.2,2023-11,196.5,5303833
ONGC,195.9,11/10/2023 5:30,196.5,192.7,2023-11,192.7,6025889
ONGC,196.75,11/12/2023 5:30,198.8,195.9,2023-11,198.8,2988611
ONGC,195.8,11/13/2023 5:30,197.3,194.1,2023-11,195.9,11181086
ONGC,199.5,11/15/2023 5:30,203.0,197.65,2023-11,198.5,19769385
ONGC,201.8,11/16/2023 5:30,203.4,201.0,2023-11,202.5,18629240
ONGC,196.35,11/17/2023 5:30,201.25,195.55,2023-11,200.85,13199928
ONGC,197.85,11/20/2023 5:30,198.5,197.0,2023-11,198.0,6423265
ONGC,191.2,11/21/2023 5:30,193.95,191.0,2023-11,193.0,10720353
ONGC,191.0,11/22/2023 5:30,191.85,189.75,2023-11,191.2,7538825
ONGC,190.65,11/23/2023 5:30,191.75,189.6,2023-11,191.0,6541617
ONGC,188.85,11/24/2023 5:30,191.85,188.15,2023-11,190.85,5751331
ONGC,193.95,11/28/2023 5:30,194.45,188.4,2023-11,188.85,9277764
ONGC,192.0,11/29/2023 5:30,195.5,191.7,2023-11,195.5,8791333
ONGC,194.95,11/30/2023 5:30,195.65,192.05,2023-11,192.65,14965403
ONGC,194.55,12/1/2023 5:30,198.25,194.25,2023-12,195.25,9935740
ONGC,202.05,12/4/2023 5:30,205.9,196.05,2023-12,196.5,28615290
ONGC,202.05,12/5/2023 5:30,203.95,199.15,2023-12,202.2,14557746
ONGC,201.95,12/6/2023 5:30,203.75,199.1,2023-12,203.75,12662213
ONGC,198.9,12/7/2023 5:30,200.9,196.05,2023-12,200.9,16425880
ONGC,195.95,12/8/2023 5:30,200.3,194.1,2023-12,199.85,10414387
ONGC,197.8,12/11/2023 5:30,200.85,194.25,2023-12,197.05,10108266
ONGC,195.4,12/12/2023 5:30,197.8,194.55,2023-12,196.95,10719911
ONGC,193.15,12/13/2023 5:30,195.4,192.05,2023-12,195.4,10892122
ONGC,195.95,12/14/2023 5:30,196.3,193.25,2023-12,195.9,15257294
ONGC,201.05,12/15/2023 5:30,201.95,196.85,2023-12,197.25,22863981
ONGC,199.0,12/18/2023 5:30,201.65,197.35,2023-12,201.05,8061011
ONGC,200.3,12/19/2023 5:30,203.55,199.3,2023-12,202.0,16739742
ONGC,203.2,12/20/2023 5:30,212.0,200.95,2023-12,201.75,57762576
ONGC,202.65,12/21/2023 5:30,206.75,201.2,2023-12,203.95,22823936
ONGC,203.95,12/22/2023 5:30,204.5,201.8,2023-12,204.0,9910694
ONGC,207.35,12/26/2023 5:30,208.5,203.65,2023-12,204.5,17052969
ONGC,205.55,12/27/2023 5:30,209.9,204.5,2023-12,209.5,20361303
ONGC,208.3,12/28/2023 5:30,208.9,205.35,2023-12,206.5,22010872
ONGC,205.05,12/29/2023 5:30,208.0,204.25,2023-12,208.0,12171663
ONGC,205.35,1/1/2024 5:30,207.1,204.75,2024-01,206.0,4820168
ONGC,207.05,1/2/2024 5:30,210.75,203.65,2024-01,205.35,21141219
ONGC,208.25,1/3/2024 5:30,210.45,204.5,2024-01,205.5,11650902
ONGC,214.65,1/4/2024 5:30,215.4,209.3,2024-01,210.5,31054419
ONGC,216.45,1/5/2024 5:30,217.5,213.05,2024-01,215.45,20743811
ONGC,217.95,1/8/2024 5:30,220.8,217.1,2024-01,218.0,19310595
ONGC,216.65,1/9/2024 5:30,221.45,215.95,2024-01,221.0,11951525
ONGC,212.1,1/10/2024 5:30,215.0,209.7,2024-01,215.0,16500666
ONGC,211.85,1/11/2024 5:30,214.0,210.85,2024-01,214.0,12586419
ONGC,223.4,1/12/2024 5:30,224.75,212.35,2024-01,213.8,39228118
ONGC,233.5,1/15/2024 5:30,235.45,224.65,2024-01,228.5,57884916
ONGC,235.1,1/16/2024 5:30,238.95,231.1,2024-01,234.95,34505065
ONGC,232.05,1/17/2024 5:30,237.25,230.7,2024-01,232.2,26010955
ONGC,233.55,1/18/2024 5:30,234.5,224.65,2024-01,230.05,19232183
ONGC,242.05,1/19/2024 5:30,242.55,235.0,2024-01,236.0,26391844
ONGC,242.05,1/20/2024 5:30,245.45,240.45,2024-01,243.0,15133785
ONGC,229.9,1/23/2024 5:30,245.65,228.0,2024-01,245.0,20282617
ONGC,234.35,1/24/2024 5:30,235.0,228.1,2024-01,231.0,14458601
ONGC,234.05,1/25/2024 5:30,237.5,232.8,2024-01,235.0,18291957
ONGC,252.5,1/29/2024 5:30,254.95,239.1,2024-01,241.0,54127939
ONGC,249.2,1/30/2024 5:30,263.3,248.65,2024-01,256.5,51491099
